Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor;newUF
CO;DF;Brasília;M;entre 21 a 30 anos;2014;11;28/11/2014;15/12/2014;02/01/2015;10;Banco do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Serviço de pagamento online/ via celular;Cobrança / Contestação;Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada avaliada;Não Resolvida;1;Distrito Federal
CO;DF;Brasília;M;entre 41 a 50 anos;2014;11;27/11/2014;15/12/2014;05/01/2015;10;Itaú BMG Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Distrito Federal
S ;RS;Porto Alegre;F;entre 21 a 30 anos;2014;11;26/11/2014;16/12/2014;06/01/2015;9;GVT;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Rio Grande do Sul
SE;SP;São Paulo;M;entre 21 a 30 anos;2014;11;20/11/2014;12/12/2014;02/01/2015;9;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Serviços na internet (provedor, hospedagem, antivírus, vídeos online, aplicativos, jogos);Informação;Informações incompletas / inadequadas sobre o serviço, plano, promoção etc;Internet;S;S;Finalizada não avaliada;Não Avaliada;;São Paulo
S ;RS;Bagé;M;entre 41 a 50 anos;2014;11;22/11/2014;15/12/2014;05/01/2015;9;Banco Cifra;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Stand, feiras e eventos;S;S;Finalizada não avaliada;Não Avaliada;;Rio Grande do Sul
NE;CE;Fortaleza;M;entre 21 a 30 anos;2014;12;29/12/2014;08/01/2015;26/01/2015;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Vício de Qualidade;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento;Internet;S;S;Finalizada avaliada;Resolvida;5;Ceará
SE;MG;Timóteo;M;entre 21 a 30 anos;2014;12;31/12/2014;05/01/2015;23/01/2015;5;Submarino;Comércio Eletrônico;Demais Produtos;Livros e papelaria (material didático, jornais, revistas, artigos de escritório, etc.);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Resolvida;5;Minas Gerais
CO;DF;Brasília;M;entre 31 a 40 anos;2014;12;29/12/2014;05/01/2015;26/01/2015;7;Banco Santander;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamento de Imóveis;Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Distrito Federal
CO;DF;Brasília;F;mais de 70 anos;2014;12;30/12/2014;09/01/2015;30/01/2015;10;Smiles;Programas de Fidelidade;Demais Serviços ;Programas de Fidelidade / Benefícios (pontos, milhagem etc);Informação;Informações incompletas / inadequadas sobre o serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Distrito Federal
SE;RJ;Itaperuna;M;até 20 anos;2014;12;30/12/2014;09/01/2015;20/01/2015;10;Magazineluiza.com;Comércio Eletrônico;Demais Produtos;Móveis e Colchões;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada avaliada;Não Resolvida;1;Rio de Janeiro
S ;PR;Curitiba;M;entre 31 a 40 anos;2014;12;29/12/2014;08/01/2015;29/01/2015;10;Smiles;Programas de Fidelidade;Transportes;Aéreo;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Paraná
